entry_ts,exit_ts,side,qty,avg_price,exit_price,realized_pnl,exit_reason,pyramid_adds
1736372700,1736380800,long,3,42984.35333333333,42952.44,-47.86999999999534,stop_hit,2
1736380800,1736403300,long,3,42962.03333333333,42879.65,-123.57499999999709,stop_hit,2
1736419500,1736422200,long,1,42897.18,42797.18,-50.0,stop_hit,0
1736799300,1736803800,long,1,42892.08,42792.08,-50.0,stop_hit,0
1736804700,1736810100,long,1,42903.58,42803.58,-50.0,stop_hit,0
1736813700,1736816400,long,3,42917.513333333336,42865.81,-77.55500000000757,stop_hit,2
1736816400,1736881200,long,3,43098.42,43421.92,485.25,stop_hit,2
1737627300,1737637200,long,3,43252.62,43215.11,-56.265000000003056,stop_hit,2
1737637200,1737639900,long,3,43415.68666666667,43371.59,-66.14500000000771,stop_hit,2
1737639900,1737642600,long,3,43392.399999999994,43307.65,-127.12499999998909,stop_hit,2
1737687600,1737711900,long,3,43333.056666666664,43247.67,-128.0799999999981,stop_hit,2
1737720000,1737724500,long,2,43368.865,43316.28,-52.58499999999913,stop_hit,1
1737724500,1737984600,long,3,43418.306666666664,43557.86,209.33000000000538,stop_hit,2
1738161900,1738238400,long,3,43958.323333333334,44629.25,1006.3899999999994,stop_hit,2
1739465100,1739466900,long,2,43971.965,43878.69,-93.27499999999418,stop_hit,1
1739470500,1739570400,long,3,43993.23333333334,45265.29,1908.0849999999955,end_of_backtest,2
